name,popularity,albumName,artistNames,spotifyUri
pg baby,67,learn 2 swim,redveil,spotify:track:2qfPBPq9BEVEd1GF4UH96H
N95,85,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:0fX4oNGBWO3dSGUZcVdVV2
A New England,37,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:0tLuGOBe8BjapO9GcX9WXb
United In Grief,79,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:5Gt9bxniM1SxN61yRzRhXL
new info,52,learn 2 swim,redveil,spotify:track:2mWlmAlggbl6aveaHRBSMu
better,51,learn 2 swim,redveil,spotify:track:0JCmvZ7o1v3yFKd0lux7FC
Weight,65,Niagara,redveil,spotify:track:5sdkS8DXx8rXNLxbSos8GS
diving board,51,learn 2 swim,redveil,spotify:track:0WsreZD6aR4NCpZoBHA9Wv
Look At Miss Ohio,51,Soul Journey,Gillian Welch,spotify:track:5vPRCX0Bj8O374jTCAQRLS
shoulder,46,learn 2 swim,redveil,spotify:track:5J4URo0fvllD1FhBor1aY3
Campbell,58,Niagara,redveil,spotify:track:1yHmbFm61m6aGqemhyOv5T
Soulfood,52,Soulfood,redveil,spotify:track:2uL3sat19TiMOOahR2jutD
Activate,55,Activate,Langston Bristol,spotify:track:0aOqzYleWvjYmMKreZsaVQ
You're Not Good Enough,57,Cupid Deluxe,Blood Orange,spotify:track:7vcNp4cj4uF4AyX5aKY4Ps
Count Me Out,78,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:6BU1RZexmvJcBjgagVVt3M
The Man in the Iron Mask,18,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:4QHAWuIQbLRFglqkCYlrPX
sky,45,learn 2 swim,redveil,spotify:track:5ZM3K8XwFXHGaQnF2wUkYL
Worldwide Steppers,73,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:66mVPWmFvXPFf8pjK5ttOW
Bad Kingdom,44,Gold,May The Muse,spotify:track:7vCuaxRIKElwgjSAo5REkw
Paradise,51,John Prine,John Prine,spotify:track:47QsP5uPZp3he5UrVsK8bs
Fetch The Bolt Cutters,50,Fetch The Bolt Cutters,Fiona Apple,spotify:track:4SdubskbLiOkpsIjRVVsya
working on it,49,learn 2 swim,redveil,spotify:track:04LuP2laVAQ7JxYMglvxlr
Father Time (feat. Sampha),78,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:28qA8y1sz0FTuSapsCxNOG
Die Hard,85,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:2g6tReTlM2Akp41g0HaeXN
Monomania,20,Monomania,Deerhunter,spotify:track:2oJBFKoMeu9YQmqFPKkSsC
When the Roses Bloom Again,51,Mermaid Avenue Vol. III,Billy Bragg,spotify:track:5UxJZ4bAva9wi19szFiddW
DNA.,79,DAMN.,Kendrick Lamar,spotify:track:6HZILIRieu8S0iqY8kIKhj
Het Is Al Laat Toch,50,Spijt Is Iets Voor Later,Racoon,spotify:track:0rG3E7ZQ5zDUjrpAzKT1qB
The Busy Girl Buys Beauty,15,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:1jhR0vhPNVj3TlhLUAO9oB
Silent Hill,80,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:3lzUeaCbcCDB5IXYfqWRlF
Savior,76,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:3drdWsJKiVCSQ2gKhd9BDT
Bird of Prey,22,Natalie Prass,Natalie Prass,spotify:track:3OKVphLTbilwovbRdbznue
Lovers Town Revisited,17,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:3VtKBUOebzW57czX5035GC
